date,developerResponse,review,rating,isEdited,userName,title
2020-01-01 21:54:35,"{'id': 12700865, 'body': 'Hi, we are sorry to hear about your unpleasant experience with the damaged orders and the delay in the delivery of the order. We would like to take a closer look into this issue of yours. Please send a quick note to help.uber.com/eaters so we can connect.  ', 'modified': '2020-01-03T07:20:49Z'}","I’ve had two terrible experiences with the app. 
1) my food was delivered in the middle of winter by someone on a bicycle. No protective bag or basket to put the food in, just a bag of heavy, hot food exposed the the freezing winter air, dangling on someone’s bike. When it finally arrived nearly 2 hours after placing the order (the restaurant was only 1.2 miles away from my house and should not have taken that long) , it was freezing cold. I felt worse for the poor delivery guy that had to ride on poorly lit, winding roads in the middle of winter. He even states that he “wasn’t supposed to” be making deliveries over a certain amount of mileage away).
2) I ordered food from a location that was 3 miles away from my house (10 minutes drive) got a notification that it was picked up, and that it would be delivered in 10 minutes. Makes sense... after checking the app 10 minutes later, when the order should have arrived, it continued to say it was 10 minutes away. The tracking showed that the driver was in the complete opposite direction of our house and the restaurant. After checking another 10 minutes later, the driver was still in the same spot. Another 10 minutes, and they were still there. We called and he said he was “driving and is on his way”. After a few minutes he started moving, but was still going in the opposite direction.

Deleting this app immediately and never using it again.",5,False,sbaloney,Poor organization
2018-12-23 19:02:01,"{'id': 6517437, 'body': ""Hey there! Please note that the delivery fee now varies depending on the distance of the desired restaurant to the delivery address. A restaurant located far away might deliver to the set delivery address, albeit with a higher delivery fee and vice versa. For further queries, reach out to us at https://help.uber.com/eaters and we'll connect."", 'modified': '2018-12-23T10:56:42Z'}","The application itself works great and has many great choices in my area. 

Unfortunately, I will no longer be using the (eats) service due to the rising booking fees. I could understand the fees based on distance for standalone companies hiring their own drivers. Uber has drivers who are intending to drive these distances for pay and can continue with more rides after leaving the destination (home) rather than having to drive back to the starting destination (restaurant). A pizza delivery through the pizza company 5 minutes away has a 50% lower delivery cost than Uber does for a restaurant in the same general area (within .2 miles). This is unacceptable. I guarantee you will continue to lose customers, as I already know of several other who are moving to your competitors for this very reason. I’m disappointed I will not be ordering my favorite tonight through Uber eats because it is $9 for a 10 minute drive. The restaurants are already inflating their prices from their in store prices. Don’t add to the problem.

Update: 2 days go by since the initial review. I opened the app out of curiosity and was welcomed by a notification touting lowered booking fees. From what I noticed (based on my ordering history) there have been no lowered prices. I’m glad I’m not wasting my money on this any longer. I used to order regularly from Uber eats but this has gotten out of control. Fix yourself, Uber.",5,True,MistaWondaBread,"Great application, climbing prices"
2024-03-24 01:54:30,,"I am giving Uber Eats a 5 star rating so that you guys will be able to see it but read this before getting this app please. I placed an order & it was good until my deliverer was so rude and unprofessional. Her name was TAO. She had 85% good rating so I assumed nothing would be wrong but she was 20 minutes late with my order and I was watching the her car on the map driving around. So I decided to text her and I asked “are you here”? She proceeded to say I put the wrong address. 😐😂like GURL I put MY right address. So I called her and she was yelling and not letting me speak. I just asked her to come to the address and she said that I have to come find her cause she doesn’t know where my address is & she would cancel my order if I didn’t come. So I had to take my 6 month old baby walking to find where she was at ; mind you it’s 9 at night. Then when I finally found her my Popeyes sealed bag was opened & my Popeyes box was opened. So I asked her why was it open and she had a whole attitude and said it wasn’t her. So I told her I would talk to customer service. I ended up texting Customer Service, showed proof, & explained that I couldn’t eat my food because I didn’t feel comfortable and they didn’t do anything. I feel highly disappointed & dissatisfied . Just know that if something happens with your order that Uber Eats will not help.",5,False,Cocomelon1997,READ THIS !!
2019-09-25 13:20:08,"{'id': 10921196, 'body': 'Hey, we understand your issue here with the order. We want to take a closer look into this for you. Please send a quick note to help.uber.com/eaters so we can connect.', 'modified': '2019-09-27T04:23:27Z'}","Honestly I never write reviews for apps but I need to warn other costumers of the irregularities in this service. my experience with the app in Puerto Rico has been frustrating. Although the food and the drivers have been absolutely amazing, the telephone and app costumer services are terrible. The first time I called the operator basically started arguing with me because he thought PR was not in the US. Then he couldn’t find my address and I offered to give him the original address and he basically shouted he didn’t know any Spanish. He also interrupted me repeatedly and didn’t allow me to explain what I needed. On a second occasion, the technician left me 10 minutes on hold and then told me that if I cancelled it was my fault so I was going to be charged for the full amount of the order (which was aprox $100  bc I was ordering for several people). In summary, The app will not let you make any changes after you submit the order and it is practically imposible to fix them or cancel. Other local apps (that have higher service fees) have an editing option and you are able to fix your order quickly, they also have great costumer service and will solve any other issues over the phone in no time. I’ve been using Uber because it was cheaper and faster but will refrain from doing so in the future. I left multiple comments and feedback on the app and not even an answer. I rather pay 3 extra dollars and being treated like a human being.",4,False,Whileichange,Uber Eats PR
2024-03-17 00:17:15,,I NEVER review apps but I will review this god awful app to warn others and my reason for giving it 5 stars was so it could be seen by all if you want to get food delivered use DoorDash I ordered food from I er eats from a Mexican restaurant and it took FOREVER but I was not mad because I know it can take long for the food to be prepared at a restaurant so I was not mad then it said that the food was delivered so hungry and excited to eat my tacos I ran immediately to the door and open it to see that my food was not there and the door in the very bad and blurry picture was not mine so I tried to contact the delivery person because I understand getting lost in my are can happen I tried multiple times no answer so I contacted Uber support and they said that it my fault after multiple people tried to contact the delivery driver no answer and that I could look around my neighbor hood where  hundreds and hundreds of people live and that in the future to pay attention to when it says the food is delivered but no refund how are you going to believe the driver who is not answering over the customer so now I’ve lost over $50 that I have to try to get back from my bank and I have to go to bed hungry because I don’t have the money to reorder my food!,5,False,EB.15,Terrible service hidden fees and no customer support
2021-06-10 18:31:11,,"Alot of my issues here arent the drivers. For the most part they are pretty good. Or what they are delivering is closed up in a bag and they cant verify its all there. My issues are mostly app related. Like constantly telling me if i added notes to my address it would be easier for drivers to find me. Literally am that one person that has detailed landmark instructions on how to find me. Maybe look at those notes and dont consider me having a conversation with the driver about literally anything else as they are lost. Maybe i want to make sure they actually did my drink iced this time cause for some reason the coffee place near me it does not see it as iced on thier end even though the app has it listed as iced. Today its decided i must speak spanish and changed all of my notifications to spanish. I know i order ALOT of mexican food but cmon. We like burritos at work, its a thing. And my fave thing EVER is that time i accidently typed in the wrong tip amount and since i was at work did not notice tiljust past an hour after it was ordered, and instead of dude getting 2$ (he was rude) he got 200$ and even being a platinum member couldnt fix that. I mean i can tip drivers within i think 24 hours, but eats nope. So in conclusion, i like my drivers, its the app that needs improvement. And can we seriously just make the tip time limit longer, i cant always get to my phone within the hour time limit and sometimes i want to up the tip.",3,False,Wd annoyed,Hit or miss
2021-02-19 02:59:02,,"Uber eats is hands down the worst delivery service I have ever dealt with. 3x in a row my food was beyond late and cold. The restaurant does their jobs on having the food ready but Uber eats has barely ANY drivers to pick up and drop the food off. They do not relay the message on their app prior to submitting the order that they are low on drivers in this area or anything. They expect you to order, wait 1 hour and then check in and see the food is ‘still preparing’, call restaurant and find out no driver picked up the food. There is also no simple way to cancel the order without being charged fully for the cancellation fee... Have to keep reaching out to their customer service and all they do is offer you a $4.89 Uber cash credit... What on earth am I supposed to do with that? That doesn’t even cover the service/delivery fees. I kept giving them the benefit of the doubt but after the third time I am fed up. I will be deleting this app and account for good. They need to re-evaluate their business and service OR just end this service for good. Never dealt with this type of issue with their competitors Grubhub and Seamless. Don’t bother downloading this app and getting excited over all the food options, you will either get the food cold or never get it at all. Just save yourself the false hope and disappointment.",5,False,fh134537652,WORST APP AND SERVICE EVER
2024-04-01 00:58:59,,"I will also be putting 5 stars in hopes people read. In order to even have a delivery delivered to you, you have to enter a VALID delivery address to save to your account. AGAIN, You have to enter it to get a delivery. I’ve had several deliveries in the past already, and never had an issue. Not one. The driver today had no idea what she, Yohanna or something, was doing and stated I didn’t give her the correct address and she was going to call Uber on me. She was just driving around and saying there were multiple entries to my apartment. I told her there were only 2 entries. It showed she was translating her messages. I don’t care where you’re from, but if you can’t follow simple directions, you shouldn’t be driving to deliver. I was still charged and never got my food. When reaching out I was told my case was too complicated lol, too complicated, and someone else would reach out in 7-10 business days. I’ll be contacting my bank first thing Monday morning to dispute the charge. I didn’t pay more money or give a tip to have to go and find my delivery driver to get my food, and it’s not my fault the driver couldn’t read my address correctly or understand what I was telling them. I’m not paying for incompetence. Won’t be using Uber eats again.",5,False,Blessed Beeb,Rude drivers and no customer service
2020-10-30 23:17:09,,"I’ve ordered through UberEats before and have not had any major issues with deliveries. However, the two times that I’ve ordered with specific delivery times requested, there has always been an issue. No exceptions. The first time which was several months back, my order was over an hour late and the restaurant actually sent their own driver to deliver, but yet I’m sure Uber charged the restaurant for this. Unacceptable. The second time was yesterday, the restaurantI ordered from called me three times letting me know that the food was ready but no Uber driver had come by to pick up. It is impossible to get a hold of any customer support via chat on the Uber app. Impossible and very unproductive. I could not cancel the order because the restaurant had already worked on it, and I could not reach someone via chat. Long story short I will say they ended up refunding my order because I sent several messages very upset. My food was actually picked up and delivered three hours late, cold. It was not the restaurant’s fault it was UberEats support and the inability to contact someone in an efficient manner as soon as a problem arises. This is my reason of giving them one star because the app has no good way of contacting someone fir help.",5,False,Paprika11,Never order delivery for a specific time!
2023-09-08 23:36:16,,"I usually don’t do bad reviews but I had a shady, disappointing experience and had absolutely no resolution with their “customer support” and need to share. I received a promo for 40% off (up to 15) for groceries, the only reason I used the app to buy groceries was because of this promo, it’s a 3min drive. The price was reduced and the promo was present during checkout then when I got charged it had no promotion applied. I was also over charged $10 with no explanation, and had two items that weren’t available so they were removed from my cart. I checked the grocery store app and the prices of every item was LESS than on uber eats so it wasn’t because of the in-store prices. They also didn’t use my account number so i could earn my points (or look my account’s order history, because how did the total increase that much with missing items? sus.) So I reached out asking why, and that I shouldn’t have been charged that much with the 40% discount and the missing items, all they refunded was the $10 add on that was added in store, did not honor the offer that was on my account. I’ve had several mix ups and mistakes on my orders which isn’t a big deal because the customer service actually resolved the issue when I didn’t get what I ordered or got a completely wrong/inedible order.. Now the $10 on my account is gone lol. Not a company worth supporting if they cannot honor what they offer their customers.",2,False,mayaabbb,No regard for customer care.
